port,packet_count,byte_count,packet_fraction,byte_fraction
4899,2262,132108,3.3718477147999736e-06,9.084809593029691e-07
5051,2262,132108,3.3718477147999736e-06,9.084809593029691e-07
5190,2262,132108,3.3718477147999736e-06,9.084809593029691e-07
5200,2262,132108,3.3718477147999736e-06,9.084809593029691e-07
5432,2262,132108,3.3718477147999736e-06,9.084809593029691e-07
5440,2262,132108,3.3718477147999736e-06,9.084809593029691e-07
2701,2261,132108,3.370357065942856e-06,9.084809593029691e-07
7999,2261,132072,3.370357065942856e-06,9.082333943217803e-07
8022,2261,132072,3.370357065942856e-06,9.082333943217803e-07
5544,2261,132060,3.370357065942856e-06,9.081508726613839e-07
5822,2261,132060,3.370357065942856e-06,9.081508726613839e-07
5859,2261,132060,3.370357065942856e-06,9.081508726613839e-07
5862,2261,132060,3.370357065942856e-06,9.081508726613839e-07
5907,2261,132060,3.370357065942856e-06,9.081508726613839e-07
5960,2261,132060,3.370357065942856e-06,9.081508726613839e-07
6001,2261,132060,3.370357065942856e-06,9.081508726613839e-07
6668,2261,132060,3.370357065942856e-06,9.081508726613839e-07
6689,2261,132060,3.370357065942856e-06,9.081508726613839e-07
6901,2261,132060,3.370357065942856e-06,9.081508726613839e-07
7001,2261,132060,3.370357065942856e-06,9.081508726613839e-07
7937,2261,132060,3.370357065942856e-06,9.081508726613839e-07
4998,2261,132048,3.370357065942856e-06,9.080683510009875e-07
5004,2261,132048,3.370357065942856e-06,9.080683510009875e-07
5033,2261,132048,3.370357065942856e-06,9.080683510009875e-07
8009,2260,132012,3.3688664170857385e-06,9.078207860197987e-07
8042,2260,132012,3.3688664170857385e-06,9.078207860197987e-07
5633,2260,132000,3.3688664170857385e-06,9.077382643594023e-07
5800,2260,132000,3.3688664170857385e-06,9.077382643594023e-07
5988,2260,132000,3.3688664170857385e-06,9.077382643594023e-07
5998,2260,132000,3.3688664170857385e-06,9.077382643594023e-07
6003,2260,132000,3.3688664170857385e-06,9.077382643594023e-07
6789,2260,132000,3.3688664170857385e-06,9.077382643594023e-07
7070,2260,132000,3.3688664170857385e-06,9.077382643594023e-07
7741,2260,132000,3.3688664170857385e-06,9.077382643594023e-07
3000,2260,131988,3.3688664170857385e-06,9.076557426990061e-07
3005,2260,131988,3.3688664170857385e-06,9.076557426990061e-07
3007,2260,131988,3.3688664170857385e-06,9.076557426990061e-07
500,2260,137796,3.3688664170857385e-06,9.475962263308197e-07
2920,2259,131928,3.367375768228621e-06,9.072431343970245e-07
3006,2259,131928,3.367375768228621e-06,9.072431343970245e-07
2049,2259,132696,3.367375768228621e-06,9.125245206623883e-07
2702,2258,131928,3.3658851193715033e-06,9.072431343970245e-07
2800,2258,131868,3.3658851193715033e-06,9.06830526095043e-07
2604,2257,131892,3.3643944705143857e-06,9.069955694158356e-07
2725,2257,131832,3.3643944705143857e-06,9.06582961113854e-07
2809,2256,131748,3.362903821657268e-06,9.060053094910798e-07
2718,2255,131712,3.3614131728001506e-06,9.05757744509891e-07
2710,2255,131712,3.3614131728001506e-06,9.05757744509891e-07
2602,2254,131712,3.359922523943033e-06,9.05757744509891e-07
2717,2254,131652,3.359922523943033e-06,9.053451362079094e-07
2383,2253,131664,3.3584318750859154e-06,9.054276578683056e-07
2161,2253,131496,3.3584318750859154e-06,9.042723546227573e-07
2638,2252,131544,3.356941226228798e-06,9.046024412643426e-07
2608,2251,131508,3.3554505773716802e-06,9.043548762831537e-07
2381,2250,131480,3.3539599285145627e-06,9.041623257422289e-07
2557,2250,131448,3.3539599285145627e-06,9.039422679811721e-07
2605,2250,131448,3.3539599285145627e-06,9.039422679811721e-07
2607,2250,131448,3.3539599285145627e-06,9.039422679811721e-07
687,2248,130920,3.3509786308003275e-06,9.003113149237345e-07
2394,2247,131280,3.34948798194321e-06,9.027869647356238e-07
2399,2247,131280,3.34948798194321e-06,9.027869647356238e-07
2500,2247,131268,3.34948798194321e-06,9.027044430752275e-07
2601,2247,131268,3.34948798194321e-06,9.027044430752275e-07
2393,2246,131220,3.3479973330860924e-06,9.023743564336422e-07
2401,2246,131220,3.3479973330860924e-06,9.023743564336422e-07
2492,2246,131208,3.3479973330860924e-06,9.022918347732459e-07
2525,2246,131208,3.3479973330860924e-06,9.022918347732459e-07
2522,2245,131148,3.3465066842289748e-06,9.018792264712644e-07
2301,2244,131100,3.345016035371857e-06,9.015491398296792e-07
2022,2243,131100,3.3435253865147396e-06,9.015491398296792e-07
2366,2243,131040,3.3435253865147396e-06,9.011365315276976e-07
2043,2242,131020,3.342034737657622e-06,9.00998995427037e-07
2288,2242,130980,3.342034737657622e-06,9.00723923225716e-07
2382,2242,130980,3.342034737657622e-06,9.00723923225716e-07
2035,2241,130968,3.3405440888005045e-06,9.006414015653198e-07
2107,2241,130964,3.3405440888005045e-06,9.006138943451876e-07
2099,2240,130908,3.339053439943387e-06,9.002287932633382e-07
1862,2239,130860,3.3375627910862693e-06,8.99898706621753e-07
1972,2239,130856,3.3375627910862693e-06,8.998711994016209e-07
2200,2239,130824,3.3375627910862693e-06,8.996511416405641e-07
2260,2239,130812,3.3375627910862693e-06,8.995686199801677e-07
1041,2239,132948,3.3375627910862693e-06,9.142574755307108e-07
1974,2238,130800,3.3360721422291517e-06,8.994860983197715e-07
2002,2238,130776,3.3360721422291517e-06,8.993210549989788e-07
